No,Player,G,Min,Pts,Reb,Ast,Stl,Blk,To,Pf,Dreb,Oreb,Fgm-a,Pct,3gm-a,Pct,Ftm-a,Pct,eff
109,C. Felicio,4,15.7,3.3,5.3,0,0.5,0.5,1.3,3,3.5,1.8,1.5-2.8,0.545,0.0-0.0,-,0.3-0.5,0.5,6.8
110,C. Miles,4,20.5,7.3,2,0.3,0.5,0.3,0.5,3,1,1,2.8-6.0,0.458,1.3-4.0,0.313,0.5-0.5,1,6.5
111,R. Hood,4,24.8,10.5,1.8,0.5,0.5,0,0.5,2.3,1.5,0.3,3.3-8.5,0.382,1.8-4.0,0.438,2.3-3.3,0.692,6.5
112,D. Carroll,4,18.7,4.8,3,0.3,1,1,0.3,2,2.8,0.3,1.8-4.3,0.412,0.8-2.8,0.273,0.5-1.5,0.333,6.3
113,T. Rozier,3,15.7,6,1.7,0.7,0.3,0,0,0.7,1.7,0,2.3-4.7,0.5,1.3-3.0,0.444,0.0-0.0,-,6.3
114,K. Anderson,4,12.2,5.3,2,0.8,0,0.3,1,0.3,1.8,0.3,2.3-3.0,0.75,0.3-0.5,0.5,0.5-0.8,0.667,6.3
115,M. Muscala,3,16.8,4.3,4.3,0.7,0.3,1,0.3,2.7,2.7,1.7,1.0-4.7,0.214,0.0-1.0,-,2.3-2.7,0.875,6.3
116,B. Bogdanovic,3,20.9,7,5,0.7,0.3,0,0,1,4.3,0.7,2.0-8.0,0.25,0.3-3.3,0.1,2.7-3.3,0.8,6.3
117,J. Simmons,3,12.6,5.3,1.3,1.7,0,0.3,0.7,1,1.3,0,2.0-2.7,0.75,0.7-1.0,0.667,0.7-1.7,0.4,6.3
118,G. Robinson III,3,10.4,5,1,0.3,0,0,0,0.7,1,0,2.0-2.0,1,0.7-0.7,1,0.3-0.7,0.5,6
119,J. Smith,3,16.1,3.3,4.3,0.3,0.3,1,1.7,5,3.3,1,1.3-3.0,0.444,0.0-0.3,-,0.7-0.7,1,6
120,D. Wright,4,12.1,3.3,2.8,1.8,0.3,0.3,0.8,0.5,2,0.8,1.0-2.0,0.5,0.5-1.0,0.5,0.8-1.3,0.6,6
121,B. Diaw,4,20.6,4.3,2,2.8,1,0.3,2,1,1.5,0.5,1.3-3.3,0.385,0.5-1.8,0.286,1.3-1.5,0.833,6
122,P. Mills,4,21.7,7.8,1.8,2,0.5,0,1.5,2.3,1.8,0,2.5-7.0,0.357,1.8-4.3,0.412,1.0-1.0,1,6
123,Z. Pachulia,3,13.2,4.7,3.7,0.7,0.3,0.3,1,1.7,3.3,0.3,2.3-5.3,0.438,0.0-0.3,-,0.0-0.0,-,5.7
124,S. Christon,2,10.3,2.5,1.5,2.5,0.5,0,0,0.5,1.5,0,1.0-2.5,0.4,0.5-1.5,0.333,0.0-0.0,-,5.5
125,E. Kanter,4,10.5,6,2,0.3,0,1.3,0.5,1.5,1.3,0.8,2.5-6.0,0.417,0.0-0.0,-,1.0-1.0,1,5.5
126,J. Smith,4,28.8,6.8,1.8,0.8,0.5,0.3,1.3,2,1.5,0.3,2.3-5.0,0.45,1.8-4.0,0.438,0.5-1.0,0.5,5.5
127,D. McDermott,4,13.1,6.3,0.8,0,0.3,0.5,0.3,0.3,0.8,0,2.3-4.3,0.529,1.8-3.0,0.583,0.0-0.0,-,5.5
128,K. Korver,4,17.1,5.3,1.5,0.8,0.8,0,0.3,0.5,1.3,0.3,1.8-4.3,0.412,1.3-3.3,0.385,0.5-0.5,1,5.5
